zlevel,well_name,image_name,keypoint_likelihood_1,keypoint_likelihood_2,1_excluded_pixels,1_mean,1_min,1_max,1_std,1_area (pixel^2),1_mean_out,1_min_out,1_max_out,1_std_out,1_area_out (pixel^2),number_objects,biggestobject_1_mean,biggestobject_1_min,biggestobject_1_max,biggestobject_1_std,biggestobject_1_area,biggestobject_1_mean_out,biggestobject_1_min_out,biggestobject_1_max_out,biggestobject_1_std_out,biggestobject_1_area_out,num_droplets,droplet_area_mean,droplet_area_total,droplet_intensity_mean,droplet_intensity_total,droplet_intensity_min,droplet_intensity_max,droplet_area_std,droplet_intensity_std,daphnia_area,daphnia_size
MIP,B02,2026-04-02- TBT-HF_B02_w1,0.17728081345558167,1.0215511322021484,0,515.9675867684543,149,14959,355.729562118267,941961,210.415238922321,0,2692,115.11210685581858,14197920,7,489.2916426793071,170,2193,220.91132691282212,535004,219.90647966429296,0,14959,149.45890539231004,14604877,0,0,0,0,0,0,0,0,0,941961,3086.9337537433485
MIP,B03,2026-04-02- TBT-HF_B03_w1,0.10222499072551727,1.211045503616333,0,512.8635447874352,149,3516,264.35271482016657,1035402,207.34070411250212,0,2481,110.49763866469414,14104479,6,512.3703288253294,191,1921,252.23879412791743,504584,218.43893410567617,0,3516,133.37928359440247,14635297,0,0,0,0,0,0,0,0,0,1035402,43.139309220245984
MIP,B04,2026-04-02- TBT-HF_B04_w1,0.2133019119501114,0.9857332706451416,0,595.0711733328576,142,2666,327.8807830918748,1121080,226.62836893112328,127,4577,194.67723901372935,14018801,4,435.874992197371,142,2519,290.4906542855718,464587,248.1502953876086,127,4577,224.2007415831177,14675294,6,1252,7512,774.9991062809078,4649.994637685447,407.0607082630692,1163.7706422018348,2437.045506345747,318.19578033715226,1121080,809.6276922141436
MIP,B06,2026-04-02- TBT-HF_B06_w1,0.12233368307352066,1.128117561340332,0,729.919072742868,154,3947,379.7215127791796,933851,244.52268058000723,0,4569,253.0516067238387,14206030,7,520.7162518437649,154,3947,332.46274209485506,430505,267.2554731077647,0,4569,282.792651873383,14709376,12,1019.9166666666666,12239,629.1632569281601,7549.959083137921,448.1115241635688,1316.87012987013,1645.0093925309825,245.51251768993222,933851,490.9786146055651
MIP,B07,2026-04-02- TBT-HF_B07_w1,0.025719420984387398,1.0220489501953125,0,786.1576594728768,144,6071,451.9978218581373,1181204,236.48873936978413,0,4533,233.2900293275672,13958677,9,889.5742221546153,199,3259,429.4383735821576,486472,259.1157830918389,0,6071,268.09215519560917,14653409,0,0,0,0,0,0,0,0,0,1181204,67.97793759742936
MIP,C02,2026-04-02- TBT-HF_C02_w1,0.5906288027763367,0.41961395740509033,0,499.09960494553275,150,5296,343.2878733691866,1026947,209.39608411688172,131,9029,113.30060053032484,14112934,7,525.6684177613294,150,5296,427.15239422928084,546896,217.93046467189544,131,9029,126.31170544646203,14592985,4,116.75,467,670.3220115867078,2681.2880463468314,458.9428571428571,835.5732484076433,35.79920855735966,168.76923056909527,1026947,531.988721684962
MIP,C05,2026-04-02- TBT-HF_C05_w1,0.022249002009630203,0.9977763295173645,0,943.6533360312843,139,43056,2754.52174661953,894506,220.20031083772804,129,2639,156.6750428312013,14245375,8,669.7478289927845,188,2435,293.85143483380523,454858,250.3434564590059,129,43056,712.7547488559661,14685023,6,39.666666666666664,238,945.3442777242062,5672.065666345237,801.3829787234042,1015.2777777777778,20.32404159281974,78.66877493101809,894506,91
MIP,C06,2026-04-02- TBT-HF_C06_w1,0.4934890568256378,1.2618026733398438,0,691.819448956063,0,5836,382.95972382622557,1188290,230.99393409683526,0,5215,204.0398859436958,13951591,4,494.72221835062004,148,5836,346.9848113001539,516582,259.12418476843015,0,5215,247.7746266466205,14623299,51,321.1764705882353,16380,781.9550454405487,39879.70731746798,403.7901234567901,4060.021551724138,1023.8085310424474,680.0676522039281,1188290,969.4132245848516
MIP,C07,2026-04-02- TBT-HF_C07_w1,0.5717153549194336,0.18321938812732697,0,923.5948768404481,148,34751,1647.7058544684123,1295880,250.750669838871,0,23351,311.7367033481278,13844001,10,884.0500229183016,148,34751,2184.7699578271518,704677,280.2378778297834,0,23351,352.28758276129906,14435204,232,184.1594827586207,42725,3031.6123222894453,703334.0587711514,425.372641509434,20965.694444444445,301.31855329375037,3564.4487132547347,1295880,1187.055601056665
MIP,C08,2026-04-02- TBT-HF_C08_w1,0.3330777883529663,0.955742597579956,0,945.5784330518144,153,9076,814.9674360754211,1482908,261.3228688377725,0,10024,399.7615812258773,13656973,8,573.3407077592458,153,8147,401.2488430876893,689500,316.6537109990387,0,10024,501.84788403009657,14450381,10,2398.5,23985,1124.246043125281,11242.46043125281,663.510376633359,2098.721698113208,3760.266044074837,434.2792484622591,1482908,1053.9701134282698
