zlevel,well_name,image_name,keypoint_likelihood_1,keypoint_likelihood_2,1_excluded_pixels,1_mean,1_min,1_max,1_std,1_area (pixel^2),1_mean_out,1_min_out,1_max_out,1_std_out,1_area_out (pixel^2),number_objects,biggestobject_1_mean,biggestobject_1_min,biggestobject_1_max,biggestobject_1_std,biggestobject_1_area,biggestobject_1_mean_out,biggestobject_1_min_out,biggestobject_1_max_out,biggestobject_1_std_out,biggestobject_1_area_out,num_droplets,droplet_area_mean,droplet_area_total,droplet_intensity_mean,droplet_intensity_total,droplet_intensity_min,droplet_intensity_max,droplet_area_std,droplet_intensity_std,daphnia_area,daphnia_size
MIP,B03,2026-03-25- TBT-NF-LF-HF_B03_w1,0.6967910528182983,0.9391210675239563,0,741.0094190423547,152,41585,2211.8327017705283,1485289,214.1021198582865,0,3993,96.78619243798822,13654592,6,804.1931746534785,152,41585,2454.697343554273,1199060,219.4859516523453,0,3993,108.36315078106487,13940821,348,193.17528735632183,67225,3296.131676520953,1147053.8234292916,402.00245098039215,30522.702702702703,249.0411485708203,4254.976438561742,1485289,1563.4589857108501
MIP,B04,2026-03-25- TBT-NF-LF-HF_B04_w1,0.3590233325958252,0.409980833530426,0,446.4471659698189,149,25821,594.3457299989464,1521614,227.48531321936926,0,4162,144.94182082582148,13618267,14,407.51053648042927,149,25821,623.5775048750838,1250465,235.26535089740275,0,4162,162.98132046652933,13889416,483,112.1055900621118,54147,1681.2458200205679,812041.7310699343,410.17543859649123,18247.407506702413,209.6151067480231,1452.0953332415088,1521614,1308.8873137134458
MIP,B05,2026-03-25- TBT-NF-LF-HF_B05_w1,0.621773898601532,0.9178513288497925,0,715.0397990532704,154,40674,2171.5171388602666,1296463,219.85459161891956,138,4580,112.1687835432913,13843418,9,758.7033733189213,154,40674,2440.509513809322,1021368,226.34439667973533,138,4580,126.24551380995489,14118513,62,507.8709677419355,31488,5270.744938554771,326786.1861903958,540.5164835164835,26290.20976116303,964.4940486923612,5755.450046940982,1296463,734.8312731505104
MIP,B06,2026-03-25- TBT-NF-LF-HF_B06_w1,0.9176615476608276,1.1382009983062744,0,432.8104573322217,146,23316,406.42420253729017,1668437,216.4800878807053,0,23361,154.8755745749934,13471444,8,406.7806424623726,146,23316,437.4947304850143,1333868,224.23741597230133,0,23361,164.22938579523498,13806013,47,728.0425531914893,34218,2085.6360876308604,98024.89611865045,408.0111111111111,13062.787162162162,1349.2064005159993,2231.7890296968303,1668437,1526.8009038509244
MIP,B07,2026-03-25- TBT-NF-LF-HF_B07_w1,0.885785698890686,0.6860613822937012,0,472.4905189449812,145,16211,697.4484265386695,2043338,227.87203416962782,0,2734,154.8842555578643,13096543,6,416.1735811022789,145,16211,737.4629017728948,1663862,241.7136929682275,0,2876,185.54175354528408,13476019,73,526.8493150684932,38460,2722.800200758302,198764.41465535603,400.80555555555554,8137.286396181385,717.7777757161504,1988.478765406069,2043338,1639.2391527778977
MIP,B08,2026-03-25- TBT-NF-LF-HF_B08_w1,0.8840726017951965,0.9447813034057617,0,416.86003523378724,148,12616,387.4762136901396,1719940,236.15690255270124,0,32029,331.4880794852551,13419941,13,329.52612136863326,148,12616,212.88224357161192,1552790,248.36082145913352,0,32029,354.04372792642613,13587091,32,2184.65625,69909,969.6999543283957,31030.398538508663,408.75645756457567,2050.60099009901,3620.1608644472976,455.8325606203683,1719940,1598.18146654252
MIP,B10,2026-03-25- TBT-NF-LF-HF_B10_w1,0.352818101644516,0.5060184597969055,0,375.17355710817964,150,21472,299.4535485055312,1570388,244.39999541618835,0,5167,216.78880655360203,13569493,11,329.3168648621486,150,21472,235.68704272546393,1392985,250.73432038767152,0,5167,228.44856527374284,13746896,21,245.1904761904762,5149,1647.3302653731855,34593.9355728369,451.8934579439252,18210.007575757576,202.75838306901616,3810.902145158938,1570388,1496.7381200463894
MIP,B11,2026-03-25- TBT-NF-LF-HF_B11_w1,0.38284993171691895,0.01600339263677597,0,289.7622278056387,148,4120,199.1654214561923,1483361,207.80688396458248,0,2395,91.85239936643501,13656520,8,223.37790666717376,148,4120,168.69556531551453,1051720,215.27365019465634,0,2395,104.22964568400106,14088161,44,414.09090909090907,18220,748.2682748986722,32923.80409554158,403.6936170212766,2758.6630109670987,586.7920204504068,575.5446243446422,1483361,68.42514157822401
MIP,C02,2026-03-25- TBT-NF-LF-HF_C02_w1,0.6829226016998291,0.3925987780094147,0,783.0978985537407,151,23853,2062.4200368569313,1225299,215.67796071775638,0,2375,100.73692371548844,13914582,9,813.6700020018975,154,23853,2126.037581456207,1148910,216.26548579080037,0,2375,101.32713194894335,13990971,70,838.2428571428571,58677,5598.6943185359405,391908.60229751584,415.8627450980392,18178.50187566988,990.0662609316594,4064.1073054281355,1225299,1591.22719936532
MIP,C03,2026-03-25- TBT-NF-LF-HF_C03_w1,0.6286438703536987,0.8688105940818787,0,391.2640156835033,143,4092,274.4637348876453,1692479,210.941110037463,0,2696,95.70022039948249,13447402,4,388.6817505199649,143,4092,287.5659340424171,1454425,214.3521984214483,0,2696,100.89210181176774,13685456,21,1647,34587,1382.565822922379,29033.882281369963,443.2068751935584,2113.7329317269077,3393.8584384148967,500.73527547196096,1692479,1608.3485318798287
MIP,C04,2026-03-25- TBT-NF-LF-HF_C04_w1,0.7428528070449829,0.9831613302230835,0,399.8141453563275,151,3962,264.6660365372535,1085897,210.3300776491563,0,2355,94.28862612948238,14053984,6,362.1658824063691,151,3962,250.43471057928718,858771,215.60753820956495,0,2355,107.79467980265818,14281110,7,3261.4285714285716,22830,1379.1502707171196,9654.051895019837,440.3438089950028,2292.758799171843,3848.9005294647827,741.9216078737378,1085897,1204.2030559668913
MIP,C05,2026-03-25- TBT-NF-LF-HF_C05_w1,0.4667102098464966,0.6739288568496704,0,791.8970127856735,150,31845,1980.880990691788,1302317,209.37085848347297,0,5734,89.93926323884031,13837564,8,867.1926659478239,150,31845,2168.366799396676,1077658,212.90705473807378,0,5734,96.3509193501407,14062223,123,463.6341463414634,57027,3510.2006487912586,431754.6798013248,415.20512820512823,22401.138121546963,753.9224996946183,4270.150846736879,1302317,1509.3829865213136
MIP,C06,2026-03-25- TBT-NF-LF-HF_C06_w1,0.7227213382720947,0.9042724967002869,0,394.045067014186,147,6151,339.24666564958034,1930636,213.156390467434,0,2501,105.33769645421543,13209245,8,384.7195927351024,147,6151,364.1313654164642,1567923,219.06801354675574,0,2501,114.33446107236824,13571958,26,3087.6923076923076,80280,1492.5893614894326,38807.323398725246,407.4519230769231,3328.4046906187623,5129.057954589562,987.3409025433839,1930636,1615.428426145832
MIP,C07,2026-03-25- TBT-NF-LF-HF_C07_w1,0.18690742552280426,1.0895283222198486,0,849.3170683784077,153,34631,2395.182305983093,1307986,210.6589247532605,0,3256,107.83443736198606,13831895,7,1001.4969453992077,153,34631,2788.7364438522804,952825,216.42655361337827,0,3256,116.20293949633697,14187056,369,225.14363143631437,83078,3239.820571255514,1195493.7907932848,412.85561497326205,24194.2,507.54180966013155,3904.243778835569,1307986,0
MIP,C09,2026-03-25- TBT-NF-LF-HF_C09_w1,0.23659910261631012,0.6762441992759705,0,429.3659099057627,151,5092,314.11198635676425,1355514,212.7624826007607,130,5634,130.7004170188751,13784367,8,429.93992635783405,151,5092,348.94958164146715,993181,218.26994846854743,130,5634,136.76366549011868,14146700,21,965.4761904761905,20275,929.0525928695107,19510.104450259725,441.72549019607845,2110.8939393939395,3194.5869782970003,494.9732691012674,1355514,1196.371597790586
